"ligand","ligand_cell","receptor","associated_genes","receptor_cell","pathway","score"
"Vegfa","FAP_WT","Vtn","Lamb2,Tnxb,Itga6,Itga9","EC_WT","mmu04512","0.615845183372817"
"Vegfa","FAP_WT","Vtn","Lamb2,Tnxb,Itga6,Itga9","FAP_WT","mmu04512","0.623807629883228"
"Vegfa","EC_WT","Vtn","Cfb,C3,C1qa,C1qc","EC_WT","mmu04610","0.6074445398747"
"Vegfa","EC_WT","Vtn","Mras,Gab1,Itpr2,Mmp2,Fas,Fn1,Fzd1,Fzd5,Plcg1,Col1a1,Col1a2","EC_WT","mmu05205","0.655081567507548"
"Vegfa","EC_WT","Vtn","Pik3cd,Cd63,Tnf,Itgb5","EC_WT","mmu05205","0.640762419550593"
"Vegfa","FAP_WT","Vtn","Ppp1r12c,Cdkn1a,Vegfa","FAP_WT","mmu05205","0.850797284292234"
"Pdap1","EC_WT","Pdgfa","Nras,Raf1,Mapk1,Myc,Rac1,Casp3,Traf6,Map4k4,Mapk14,Nfatc3","FAP_WT","mmu04010","0.679694950225475"
"Pdap1","EC_WT","Pdgfa","Pdgfa,Pdgfrb,Shc1,Ralgds,Rgl1","EC_WT","mmu04014","0.639750228101166"
"Pdap1","FAP_WT","Pdgfa","Pdgfa,Pdgfrb,Shc1,Ralgds,Rgl1","FAP_WT","mmu04014","0.67114764860148"
"Pdap1","EC_WT","Pdgfa","Calm1,Rras2,Rala,Cdc42","EC_WT","mmu04014","0.668205272406807"
"Pdap1","EC_WT","Pdgfa","Nras,Rassf1,Raf1,Rel,Abl2","FAP_WT","mmu04014","0.632364699564289"
"Pdap1","FAP_WT","Pdgfa","Calm3,Pfn1,Pard6a,Map2k2,Akt1","FAP_WT","mmu04015","0.637534177778153"
