pathName	score/relevance	genes
Thyroid hormone signaling pathway.Pdpk1-1;8	34.2380584216163	Akt1;Akt2;Akt3;Pdpk1;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Akt1;Akt2;Akt3;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Thra;Akt1;Akt2;Akt3;Mapk1;Mapk3;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Itgav;Itgb3;Mapk1;Mapk3;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Atp1a1;Mapk1;Mapk3;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Atp1b3;Mapk1;Mapk3;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Atp1a2;Mapk1;Mapk3;Pik3ca;Pik3r1;Pik3r2;Pik3r3
Regulation of actin cytoskeleton.Itga7-1;46	34.1011911246934	Bcar1;Crk;Crkl;Itga1;Itga11;Itga5;Itga7;Itga9;Itgav;Itgb1;Itgb3;Itgb5;Ptk2;Bcar1;Crk;Crkl;Dock1;Ptk2;Arhgef6;Dock1;Pak1;Pak2;Pak3;Pak4;Rac1;Rhoa;Rock1;Rock2;Tiam1;Vav2;Arhgef6;Kras;Mras;Nras;Pak1;Pak2;Pak3;Pak4;Rhoa;Rock1;Rock2;Rras;Rras2;Tiam1;Vav2;Araf;Braf;Kras;Mras;Nras;Raf1;Rhoa;Rock1;Rock2;Rras;Rras2;Araf;Braf;Map2k1;Map2k2;Raf1;Rhoa;Rock1;Rock2;Map2k1;Map2k2;Mapk1;Mapk3;Rhoa;Rock1;Rock2;Pikfyve;Pip4k2a;Pip4k2b;Pip4k2c;Pip5k1a;Pip5k1c;Rock1;Rock2;Vcl;Actn1;Pikfyve;Pip4k2a;Pip4k2b;Pip4k2c;Pip5k1a;Pip5k1c;Vcl;Actn4;Pikfyve;Pip4k2a;Pip4k2b;Pip4k2c;Pip5k1a;Pip5k1c;Vcl;Gsn;Pikfyve;Pip4k2a;Pip4k2b;Pip4k2c;Pip5k1a;Pip5k1c
Leukocyte transendothelial migration.null-1;18	33.67743627511	Actb;Actg1;Ezr;Msn;Myl12a;Myl12b;Myl9;Ezr;Msn;Myl12a;Myl12b;Myl9;Rhoa;Ezr;Icam1;Msn;Rhoa;Vav2;Vcam1;Icam1;Rap1a;Rap1b;Rhoa;Vav2;Vcam1;Itgb1;Jam2;Rap1a;Rap1b;Rassf5;Vcam1;Mllt4;Rap1a;Rap1b;Rap1a;Rap1b;Sipa1
Apoptosis	32.0877347813457	Il3ra;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Akt1;Akt2;Akt3;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Akt1;Akt2;Akt3;Bad;Ppp3ca;Ppp3cb;Ppp3cc;Ppp3r1;Prkaca;Prkacb;Prkar1a;Prkar2a;Prkar2b;Akt1;Akt2;Akt3;Chuk;Ikbkb;Ikbkg;Map3k14;Chuk;Fadd;Ikbkb;Ikbkg;Map3k14;Fadd;Irak1;Irak3;Irak4;Map3k14;Ripk1;Traf2;Fadd;Il1r1;Il1rap;Irak1;Irak3;Irak4;Ripk1;Traf2;Cflar;Fadd;Il1r1;Il1rap;Ripk1;Tnfrsf1a;Tradd;Traf2;Cflar;Fadd;Fas;Il1r1;Il1rap;Tnfrsf10b;Tnfrsf1a;Tradd
Leukocyte transendothelial migration.null-1;11	31.7806284609976	Actb;Actg1;Ezr;Msn;Myl12a;Myl12b;Myl9;Ezr;Msn;Myl12a;Myl12b;Myl9;Rhoa;Ezr;Icam1;Msn;Rhoa;Vav2;Vcam1;Icam1;Rap1a;Rap1b;Rhoa;Vav2;Vcam1;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Rac1;Vav2;Vcam1;Gnai2;Gnai3;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Vcam1
Natural killer cell mediated cytotoxicity	31.598068383986	Pik3ca;Pik3r1;Pik3r2;Pik3r3;Plcg1;Ptpn11;Vav2;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Rac1;Vav2;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Rac1;Syk;Pak1;Rac1;Syk;Araf;Braf;Pak1;Raf1;Syk;Araf;Braf;Kras;Nras;Raf1;Syk;Kras;Nras;Sos1;Sos2;Syk;Grb2;Sos1;Sos2;Syk;Grb2;Shc1;Shc2;Syk
Choline metabolism in cancer.Jun-1;10	31.1864302943757	Chka;Fos;Hif1a;Jun;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Raf1;Ralgds;Kras;Nras;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Pld1;Raf1;Ralgds;Sp1;Kras;Nras;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Pld2;Raf1;Ralgds;Sp1;Mapk8;Mapk9;Raf1;Ralgds;Sp1;Mapk1;Mapk3;Mapk8;Mapk9;Raf1;Sp1;Mapk1;Mapk3;Mapk8;Mapk9;Pcyt1a;Sp1;Mapk1;Mapk3;Mapk8;Mapk9;Pla2g4a
Ras signaling pathway.Vegfb-1;27	31.1377196172647	Grb2;Shc1;Shc2;Grb2;Sos1;Sos2;Kras;Mras;Nf1;Nras;Rasa1;Rasa2;Rasa3;Rasal2;Rras;Rras2;Sos1;Sos2;Kras;Mras;Nras;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Ralbp1;Rras;Rras2;Tiam1;Kras;Mras;Nras;Rala;Ralb;Ralbp1;Rras;Rras2;Cdc42;Rala;Ralb;Ralbp1;Cdc42;Mapk8;Rala;Ralb;Cdc42;Mapk9;Rala;Ralb;Exoc2;Rala;Ralb;Pld1;Rala;Ralb
Chronic myeloid leukemia	30.6279193933745	Grb2;Kras;Nras;Sos1;Sos2;Abl1;Bcr;Gab2;Grb2;Abl1;Bcr;Cbl;Cblb;Crk;Crkl;Gab2;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Abl1;Akt1;Akt2;Akt3;Bcr;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Abl1;Akt1;Akt2;Akt3;Bad;Bcr;Akt1;Akt2;Akt3;Chuk;Ikbkb;Ikbkg;Akt1;Akt2;Akt3;Mdm2;Ccnd1;Cdk4;Cdkn1a;Mdm2;Cdkn1a;Mdm2;Trp53
MAPK signaling pathway.Prkacb-1;54	29.5706196802024	Prkaca;Prkacb;Rap1a;Rap1b;Braf;Kras;Mras;Nras;Rap1a;Rap1b;Rras;Rras2;Braf;Kras;Mras;Nras;Raf1;Rras;Rras2;Kras;Mras;Nras;Prkca;Raf1;Rras;Rras2;Kras;Mras;Nf1;Nras;Prkca;Rapgef2;Rasa1;Rasa2;Rras;Rras2;Sos1;Sos2;Gna12;Gng12;Rasa2
