"receptor" "pathway_id" "genes_in_cluster"
"Lrp2" "mmu04918" "Hspa5,Hsp90b1,Canx,Pdia4"
"Lrp2" "mmu04918" "Atp1a2,Atp1b2"
"Lrp2" "mmu04918" "Gpx7,Gsr"
"Il6st" "mmu04060" "Cxcl1,Cxcl10,Il6,Tnfrsf10b"
"Il6st" "mmu04060" "Cxcl2,Ccl2,Ccl4,Ccl3,Ccl7,Ccl8,Ccl9,Il1b,Il17ra"
"Il6st" "mmu04060" "Cxcl12,Osmr,Acvr1b,Il1r1"
"Il6st" "mmu04060" "Cxcl16,Ccl5,Cxcr4,Csf2ra"
"Il6st" "mmu04060" "Cxcl14,Vegfb"
"Il6st" "mmu04060" "Cx3cl1,Pdgfrb"
"Il6st" "mmu04060" "Ccl27a,Tnfsf13"
"Il6st" "mmu04060" "Clcf1,Tnfrsf1a"
"Il6st" "mmu04060" "Pdgfd,Vegfc,Ifngr1,Tgfbr2,Bmpr2"
"Il6st" "mmu04060" "Kitl,Acvr2a"
"Il6st" "mmu04060" "Flt3l,Il11ra1"
"Il6st" "mmu04060" "Tnfsf9,Il3ra,Crlf2"
"Il6st" "mmu04060" "Tgfb2,Bmpr1a"
"Il6st" "mmu04060" "Tgfb3,Egfr"
"Il6st" "mmu04060" "Il6ra,Il1r2"
"Il6st" "mmu04060" "Ghr,Acvr1"
"Il6st" "mmu04060" "Eda2r,Tgfbr1"
"Il6st" "mmu04550" "Lifr,Jarid2"
"Il6st" "mmu04550" "Il6st,Jak1"
"Il6st" "mmu04550" "Jak2,Klf4,Map2k1,Acvr2a,Skil,Rif1"
"Il6st" "mmu04550" "Jak3,Stat3,Acvr1b"
"Il6st" "mmu04550" "Map2k2,Id3,Dvl2"
"Il6st" "mmu04550" "Mapk1,Pik3r3,Akt3,Bmpr2,Smad5,Smad4,Gsk3b,Apc,Ctnnb1,Kras,Smarcad1,Kat6a,Setdb1,Pcgf3,Bmi1"
"Il6st" "mmu04550" "Mapk3,Mapk12"
"Il6st" "mmu04550" "Pik3r2,Akt2"
"Il6st" "mmu04550" "Pik3r1,Fzd4"
"Il6st" "mmu04550" "Smad2,Mapk14"
"Il6st" "mmu04550" "Smad3,Pcgf2"
"Il6st" "mmu04550" "Bmp2,Bmp4"
"Il6st" "mmu04550" "Bmpr1a,Fgfr1"
