"receptor" "pathway_id" "genes_in_cluster"
"Il6st" "mmu05203" "Il6st"
"Il6st" "mmu05203" "Mapkapk2"
"Il6st" "mmu05203" "H2-M3"
"Il6st" "mmu05203" "H2-T22"
"Il6st" "mmu05203" "H2-T10"
"Il6st" "mmu05203" "H2-D1,H2-K1,H2-Q4"
"Il6st" "mmu05203" "Gm11127"
"Lifr" "mmu04630" "Il6,Jak2,Socs5,Ptpn2"
"Lifr" "mmu04630" "Il15"
"Lifr" "mmu04630" "Il3ra,Stat5a"
"Lifr" "mmu04630" "Il4ra,Stat3"
"Lifr" "mmu04630" "Il10rb,Il11ra1"
"Lifr" "mmu04630" "Il13ra1,Ifngr1,Stam,Stam2,Pias2,Akt3"
"Lifr" "mmu04630" "Il15ra"
"Lifr" "mmu04630" "Il20rb"
"Lifr" "mmu04630" "Il6st,Osmr,Jak1"
"Lifr" "mmu04630" "Ifnar1,Socs2"
"Lifr" "mmu04630" "Ifnar2"
"Lifr" "mmu04630" "Ifngr2"
"Lifr" "mmu04630" "Lifr,Ghr"
"Lifr" "mmu04630" "Tyk2"
"Lifr" "mmu04630" "Stat1,Stat2,Irf9"
"Lifr" "mmu04630" "Stat5b"
"Lifr" "mmu04630" "Stat6"
"Lifr" "mmu04630" "Cish,Myc,Cdkn1a"
"Lifr" "mmu04630" "Socs3"
"Lifr" "mmu04630" "Socs7,Mcl1"
"Lifr" "mmu04630" "Bcl2l1"
"Lifr" "mmu04630" "Pim1"
"Lifr" "mmu04630" "Ccnd1"
"Lifr" "mmu04630" "Ccnd2,Ptpn11"
"Lifr" "mmu04630" "Ccnd3,Pias4,Akt1"
"Lifr" "mmu04630" "Pias1"
"Lifr" "mmu04630" "Pias3,Pik3r2"
"Lifr" "mmu04630" "Fhl1"
"Lifr" "mmu04630" "Grb2"
"Lifr" "mmu04630" "Raf1"
"Lifr" "mmu04630" "Akt2"
"Lifr" "mmu04630" "Mtor"
"Osmr" "mmu04630" "Il6,Jak2,Socs5,Ptpn2"
"Osmr" "mmu04630" "Il15"
"Osmr" "mmu04630" "Il3ra,Stat5a"
"Osmr" "mmu04630" "Il4ra,Stat3"
"Osmr" "mmu04630" "Il10rb,Il11ra1"
"Osmr" "mmu04630" "Il13ra1,Ifngr1,Stam,Stam2,Pias2,Akt3"
"Osmr" "mmu04630" "Il15ra"
"Osmr" "mmu04630" "Il20rb"
"Osmr" "mmu04630" "Il6st,Osmr,Jak1"
"Osmr" "mmu04630" "Ifnar1,Socs2"
"Osmr" "mmu04630" "Ifnar2"
"Osmr" "mmu04630" "Ifngr2"
"Osmr" "mmu04630" "Lifr,Ghr"
"Osmr" "mmu04630" "Tyk2"
"Osmr" "mmu04630" "Stat1,Stat2,Irf9"
"Osmr" "mmu04630" "Stat5b"
"Osmr" "mmu04630" "Stat6"
"Osmr" "mmu04630" "Cish,Myc,Cdkn1a"
"Osmr" "mmu04630" "Socs3"
"Osmr" "mmu04630" "Socs7,Mcl1"
"Osmr" "mmu04630" "Bcl2l1"
"Osmr" "mmu04630" "Pim1"
"Osmr" "mmu04630" "Ccnd1"
"Osmr" "mmu04630" "Ccnd2,Ptpn11"
"Osmr" "mmu04630" "Ccnd3,Pias4,Akt1"
"Osmr" "mmu04630" "Pias1"
"Osmr" "mmu04630" "Pias3,Pik3r2"
"Osmr" "mmu04630" "Fhl1"
"Osmr" "mmu04630" "Grb2"
"Osmr" "mmu04630" "Raf1"
"Osmr" "mmu04630" "Akt2"
"Osmr" "mmu04630" "Mtor"
"Ccr1" "mmu04062" "Cxcl1,Cxcl10,Ccl2,Nfkbia"
"Ccr1" "mmu04062" "Cxcl12,Stat3"
"Ccr1" "mmu04062" "Cxcl16,Arrb2"
"Ccr1" "mmu04062" "Cxcl14"
"Ccr1" "mmu04062" "Cx3cl1"
"Ccr1" "mmu04062" "Jak2,Map2k1,Nfkb1"
